created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-03-20T22:50:27+00:00,1,15,45,,,,field1 is less than field2
2024-03-20T22:50:45+00:00,2,14,48,,,,field1 is less than field2
2024-03-20T22:51:06+00:00,3,15,16,,,,field1 is less than field2
2024-03-20T22:51:27+00:00,4,16,87,,,,field1 is less than field2
2024-03-20T22:52:13+00:00,5,18,51,,,,field1 is less than field2
2024-03-20T22:53:50+00:00,6,22,93,,,,field1 is less than field2
2024-03-20T22:54:33+00:00,7,24,98,,,,field1 is less than field2
2024-03-20T22:54:57+00:00,8,25,31,,,,field1 is less than field2
2024-03-20T22:55:36+00:00,9,10,48,,,,field1 is less than field2
2024-03-20T22:55:57+00:00,10,12,86,,,,field1 is less than field2
2024-03-20T22:56:17+00:00,11,14,89,,,,field1 is less than field2
2024-03-20T22:56:36+00:00,12,13,29,,,,field1 is less than field2
2024-03-20T22:56:57+00:00,13,15,55,,,,field1 is less than field2
2024-03-20T22:57:18+00:00,14,17,41,,,,field1 is less than field2
2024-03-20T22:57:39+00:00,15,19,28,,,,field1 is less than field2
2024-03-20T22:58:00+00:00,16,21,66,,,,field1 is less than field2
2024-03-20T22:58:22+00:00,17,23,83,,,,field1 is less than field2
2024-03-20T22:58:42+00:00,18,25,96,,,,field1 is less than field2
2024-03-20T22:59:06+00:00,19,9,9,,,,field1 equals field2
2024-03-20T22:59:29+00:00,20,11,29,,,,field1 is less than field2
2024-03-20T23:00:04+00:00,21,14,30,,,,field1 is less than field2
2024-03-20T23:00:26+00:00,22,16,4,,,,field1 is greater than field2
2024-03-20T23:00:47+00:00,23,18,81,,,,field1 is less than field2
2024-03-20T23:01:07+00:00,24,20,10,,,,field1 is greater than field2
2024-03-20T23:01:28+00:00,25,22,44,,,,field1 is less than field2
2024-03-20T23:01:50+00:00,26,24,3,,,,field1 is greater than field2
2024-03-20T23:02:10+00:00,27,26,19,,,,field1 is greater than field2
2024-03-20T23:02:31+00:00,28,28,24,,,,field1 is greater than field2
2024-03-20T23:02:52+00:00,29,30,60,,,,field1 is less than field2
2024-03-20T23:03:31+00:00,30,33,44,,,,field1 is less than field2
2024-03-20T23:04:07+00:00,31,36,94,,,,field1 is less than field2
2024-03-20T23:04:28+00:00,32,38,33,,,,field1 is greater than field2
